АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
301;2110000;2129999;20000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7707049388
301;2150000;2169999;20000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7707049388
301;2180000;2189999;10000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7707049388
301;2190000;2190499;500;АО "МТТ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7705017253
301;2191000;2199999;9000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7707049388
301;2200000;2200000;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200001;2200010;10;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200011;2200011;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200012;2200012;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200013;2200013;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200014;2200017;4;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200018;2200020;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200021;2200021;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200022;2200023;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200024;2200025;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200026;2200028;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200029;2200033;5;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200034;2200035;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200036;2200036;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200037;2200039;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200040;2200041;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200042;2200042;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200043;2200044;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200045;2200047;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200048;2200049;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200050;2200051;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200052;2200052;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200053;2200054;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200055;2200055;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200056;2200056;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200057;2200057;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200058;2200058;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200059;2200059;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200060;2200060;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200061;2200065;5;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200066;2200066;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200067;2200068;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200069;2200069;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200070;2200070;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200071;2200074;4;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200075;2200075;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200076;2200076;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200077;2200077;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200078;2200080;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200081;2200081;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200082;2200084;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200085;2200089;5;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200090;2200091;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200092;2200095;4;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200096;2200096;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200097;2200102;6;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200103;2200106;4;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200107;2200107;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200108;2200108;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200109;2200125;17;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200126;2200129;4;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200130;2200130;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200131;2200136;6;ООО "ТТК-СВЯЗЬ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200137;2200148;12;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200149;2200149;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200150;2200170;21;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200171;2200174;4;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200175;2200176;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200177;2200181;5;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
