АВС/ DEF;От;До;Емкость;Оператор;Регион;Территория ГАР;ИНН
301;2200182;2200183;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200184;2200184;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200185;2200189;5;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200190;2200191;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200192;2200197;6;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200198;2200201;4;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200202;2200204;3;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200205;2200205;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200206;2200206;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200207;2200210;4;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200211;2200212;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200213;2200219;7;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200220;2200234;15;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200235;2200236;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200237;2200239;3;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200240;2200242;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200243;2200249;7;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200250;2200264;15;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200265;2200272;8;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200273;2200277;5;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200278;2200281;4;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200282;2200282;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200283;2200283;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200284;2200284;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200285;2200287;3;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200288;2200288;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200289;2200291;3;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200292;2200292;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200293;2200300;8;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200301;2200302;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200303;2200319;17;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200320;2200320;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200321;2200322;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200323;2200323;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200324;2200336;13;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200337;2200337;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200338;2200339;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200340;2200340;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200341;2200359;19;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200360;2200360;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200361;2200379;19;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200380;2200380;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200381;2200383;3;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200384;2200384;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200385;2200389;5;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200390;2200390;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200391;2200460;70;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200461;2200461;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200462;2200472;11;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200473;2200473;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200474;2200500;27;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200501;2200503;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200504;2200504;1;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200505;2200512;8;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200513;2200514;2;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200515;2200515;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200516;2200519;4;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200520;2200520;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200521;2200524;4;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200525;2200527;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200528;2200534;7;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200535;2200535;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200536;2200545;10;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200546;2200546;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200547;2200549;3;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200550;2200550;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200551;2200566;16;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200567;2200569;3;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200570;2200598;29;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200599;2200599;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200600;2200605;6;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200606;2200607;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200608;2200640;33;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200641;2200641;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200642;2200677;36;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200678;2200678;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200679;2200708;30;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200709;2200709;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200710;2200726;17;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200727;2200727;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200728;2200756;29;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200757;2200757;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200758;2200769;12;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200770;2200770;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200771;2200776;6;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200777;2200778;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200779;2200799;21;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200800;2200800;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200801;2200815;15;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200816;2200816;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200817;2200827;11;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200828;2200828;1;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200829;2200898;70;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
301;2200899;2200900;2;АО "КОМПАНИЯ ТРАНСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия;г.о. город Улан-Удэ|Республика Бурятия;7709219099
301;2200901;2200910;10;ООО "ТТК-Связь";г. Улан-Удэ|Республика Бурятия;г. Улан-Удэ|г.о. город Улан-Удэ|Республика Бурятия;7709362765
